"","b_Nu_Intercept","b_eta_Intercept","b_tau_Intercept","b_rho_Intercept","sd_group__Nu_Intercept","sd_group__eta_Intercept","sd_group__tau_Intercept","sd_group__rho_Intercept","sigma","r_group__Nu.h15.Intercept.","r_group__Nu.h16.Intercept.","r_group__eta.h15.Intercept.","r_group__eta.h16.Intercept.","r_group__tau.h15.Intercept.","r_group__tau.h16.Intercept.","r_group__rho.h15.Intercept.","r_group__rho.h16.Intercept.","lp__"
"1",-0.795845,0.529521,-0.805233,1.25702,1.01538,0.579692,1.30763,0.70064,0,-1.16896,1.46748,0.875868,0.435533,-2.57306,0.247683,-0.260945,-0.392941,-147.444
"2",-0.713546,0.431738,-0.878769,1.308,1.22476,0.61315,1.45382,0.762951,0,-1.23045,1.32332,0.960605,0.535769,-2.33912,0.306711,-0.335758,-0.438673,-144.622
"3",0.827254,0.631301,-0.812808,0.495656,1.67226,0.816829,1.57252,0.979643,0,-2.28545,-0.165621,0.759236,0.321158,-2.31078,0.314531,0.47987,0.324778,-145.071
"4",0.28408,0.980317,-0.659712,0.865223,1.59743,0.636116,1.34811,0.239299,0,-2.59165,0.349619,0.412265,-0.0147274,-2.72598,0.115014,0.117447,-0.00800571,-141.808
"5",-1.2059,1.29453,-0.353075,0.987115,1.05839,0.487147,1.48446,0.447577,0,-0.94528,1.71065,0.105242,-0.324387,-3.16173,-0.278706,0.0139732,-0.088715,-145.371
"6",-0.697215,1.28137,-0.592671,1.0752,1.19887,0.507697,1.46482,0.332562,0,-1.24024,1.48223,0.122081,-0.324916,-2.79517,0.0959745,-0.077437,-0.241038,-143.799
"7",-1.55852,0.91773,-0.461442,0.879548,1.31425,0.712995,1.8877,0.344366,0,-0.881518,2.23922,0.493944,0.0402291,-3.23574,-0.094271,0.138797,-0.0198994,-144.872
"8",-1.16297,0.895446,-0.967142,0.916182,1.31993,0.836572,1.48713,0.400049,0,-0.923309,1.91708,0.503615,0.0676896,-2.25309,0.430822,0.0594488,-0.0545538,-144.51
"9",0.348337,0.954143,0.123953,0.954924,1.32381,0.528824,3.99481,0.268609,0,-3.08738,0.287959,0.457352,-0.000138217,-3.70569,-0.652619,0.0510254,-0.116496,-147.65
"10",0.0884638,1.24019,0.69945,0.86884,1.7536,0.814335,2.33735,0.367921,0,-2.56171,0.521649,0.13731,-0.280382,-4.25666,-1.25396,0.115745,-0.0118591,-149.475
"11",-0.74898,1.08293,0.962479,0.99409,1.45271,0.357221,2.60021,1.04633,0,-0.627047,1.47325,0.28298,-0.127582,-3.80812,-1.50439,-0.0680112,-0.138745,-146.945
"12",-1.73277,1.11437,0.272326,0.779792,1.75206,0.481303,2.07279,0.291601,0,-1.08477,2.37645,0.290605,-0.144265,-4.01396,-0.813611,0.234039,0.0801316,-147.965
"13",1.52114,1.36135,-0.516263,0.937036,1.51453,0.43053,0.704946,0.595683,0,-2.32726,-0.846843,0.00664837,-0.39153,-2.08847,-0.0122668,-0.0284628,-0.0807068,-151.47
"14",-0.632949,1.52019,-0.0541637,0.880754,1.40778,0.40409,1.00864,0.219619,0,-1.04138,1.31508,-0.130079,-0.557801,-3.05974,-0.465298,0.0843853,-0.0352186,-146.393
"15",-0.789484,1.17127,-1.40079,1.04586,0.996678,0.417922,1.15008,0.226609,0,-1.42649,1.47326,0.210928,-0.217744,-1.9731,0.889513,-0.0701863,-0.215365,-146.719
"16",-1.1652,0.627644,-1.1382,0.150199,1.24321,0.519279,1.65785,0.792613,0,-1.05975,1.94165,0.770504,0.335072,-2.26163,0.611905,0.838362,0.70774,-145.371
"17",-0.581686,0.590747,-0.443163,0.617265,1.627,0.826178,1.68648,0.373986,0,-0.591268,1.28367,0.78321,0.368777,-2.5378,-0.0865378,0.333592,0.231529,-141.104
"18",0.09751,0.771395,-0.827968,0.906797,1.10844,0.951148,1.99425,0.282835,0,-1.39006,0.585739,0.609697,0.192663,-2.14759,0.262485,0.0442551,-0.0340124,-142.208
"19",0.971661,1.00388,0.165336,0.773631,1.1501,0.35759,1.83771,0.244437,0,-2.24375,-0.244546,0.382636,-0.0502586,-3.04532,-0.653564,0.172406,0.046588,-145.007
"20",0.519641,0.904462,-1.00924,0.835636,0.933985,0.365101,2.36109,0.139081,0,-1.28829,0.0245092,0.458344,0.0621668,-1.54694,0.433038,0.0626092,0.0335878,-146.133
"21",0.565916,1.13045,-1.47138,0.776583,0.951562,0.387907,1.91341,0.179088,0,-1.27279,0.0100172,0.232487,-0.167112,-1.15398,0.934633,0.134016,0.069895,-145.433
"22",-0.175812,1.26924,-0.749235,0.700152,0.995641,0.44531,1.68824,0.361703,0,-0.97937,0.837812,0.0963133,-0.310715,-2.08102,0.229017,0.227403,0.138759,-141.471
"23",-0.426058,1.20976,-0.223567,0.830096,0.911132,0.368001,1.57919,0.123689,0,-0.371439,1.05849,0.175266,-0.246408,-2.56657,-0.332856,0.118076,0.0324778,-146.233
"24",0.494967,1.26044,-0.747632,0.365793,1.13417,0.395912,0.935742,0.281297,0,-1.18362,0.0546242,0.114418,-0.294902,-1.90077,0.142972,0.554834,0.516014,-150.212
"25",0.294756,1.47816,-0.308559,0.835586,2.71278,0.37728,1.37746,0.132944,0,-2.3546,0.275967,-0.0894496,-0.511503,-2.83642,-0.265416,0.127199,0.0338464,-145.965
"26",0.491105,1.65587,-1.92211,0.841214,1.72674,0.446458,1.72145,0.0723445,0,-2.07053,0.137229,-0.277666,-0.699046,-1.14406,1.38339,0.112711,0.00137788,-147.94
"27",0.802808,1.32817,-1.25699,0.870086,2.47509,0.369089,1.54129,0.0375276,0,-1.49691,-0.0637712,0.0379979,-0.371428,-1.41694,0.739872,0.0486666,-0.0289027,-147.567
"28",0.872389,1.30572,-2.13532,0.896189,2.71466,0.558649,1.15045,0.0338262,0,-2.0124,-0.20447,0.0642731,-0.344228,-0.678909,1.57715,0.0326745,-0.0306627,-147.93
"29",-1.98565,1.4259,-1.7522,0.898877,1.25339,0.785735,1.51476,0.132573,0,0.132549,2.54271,-0.0250336,-0.455951,-1.85223,1.1669,0.115333,-0.0230965,-150.893
"30",-1.81414,1.20431,-1.03943,0.753314,1.3379,0.99069,2.14412,0.151142,0,0.423821,2.5766,0.183079,-0.246794,-1.95892,0.557171,0.204861,0.071767,-145.082
"31",-1.11714,1.05449,-1.23875,0.603682,1.00748,0.365544,1.47503,0.234641,0,-0.489192,1.79925,0.323334,-0.0919842,-1.70523,0.699836,0.336573,0.252135,-144.744
"32",-0.176613,1.12723,-1.16517,0.342563,1.23583,0.342785,0.794796,1.13156,0,-1.10133,0.793625,0.26113,-0.163697,-1.80116,0.609931,0.613295,0.516241,-143.282
"33",0.747371,1.46633,-1.60325,0.695349,1.91991,0.41018,1.00983,0.621704,0,-2.97832,-0.0433975,-0.0752259,-0.508837,-1.85619,1.08493,0.294735,0.145253,-144.366
"34",-1.18882,1.44685,0.114338,0.691365,1.51926,0.59381,1.61984,0.308653,0,0.160081,1.7128,-0.0821109,-0.477299,-2.73307,-0.685144,0.207845,0.176027,-147.549
"35",-0.531594,1.01506,-0.660021,0.587795,1.06658,0.342123,2.26354,0.424557,0,-0.765542,1.17478,0.361463,-0.0552818,-2.41112,0.133108,0.373056,0.253664,-142.091
"36",-0.487896,1.01915,-0.585004,0.637195,1.04557,0.365767,2.19083,0.40242,0,-0.716013,1.17135,0.370607,-0.0587229,-2.44987,0.0480214,0.329888,0.213319,-142.703
"37",-0.254043,0.998198,-1.78653,0.38417,0.806605,0.379212,2.12889,0.434552,0,-0.730167,0.913636,0.389895,-0.0416461,-1.16194,1.24008,0.581186,0.468105,-147.439
"38",-1.52706,1.32417,-0.190371,0.624566,1.00133,0.587007,1.74186,0.220731,0,0.854927,2.04829,0.0474774,-0.35513,-2.4335,-0.386422,0.293101,0.246031,-149.773
"39",-0.403198,1.05324,-0.122912,0.832562,0.72593,0.51359,2.84483,0.433013,0,-0.65759,1.03338,0.341318,-0.0911857,-2.83284,-0.411848,0.133876,0.0144207,-143.673
"40",-0.518282,0.921095,0.0810328,1.10019,1.5094,0.450155,2.22112,0.409566,0,-0.467198,1.12233,0.462349,0.0418242,-3.09652,-0.63528,-0.132533,-0.243631,-143.226
"41",-0.805831,1.12525,-0.358017,0.934666,1.10593,0.303219,2.29182,1.92793,0,-1.77931,1.58402,0.273527,-0.168675,-3.36294,-0.10147,0.0736082,-0.125714,-146.271
"42",-1.16115,1.09151,-0.962486,1.22817,1.28276,0.265425,2.0944,1.02024,0,-0.728236,1.80997,0.292816,-0.129643,-2.28141,0.411187,-0.257212,-0.368804,-142.077
"43",-0.351479,1.06053,0.287856,1.33659,1.9258,0.287412,1.42278,1.3524,0,-1.54022,0.878941,0.328631,-0.0954154,-3.45856,-0.884303,-0.370372,-0.460765,-143.867
